Title,"Release Date",Genres,Runtime,Director,Format,Distributor,"Added Date","IMDb Rating","IMDb Url",Plot,Edition,Barcode,Actor
"12 Monkeys",1995,"Mystery | Science Fiction | Thriller",02:09,"Terry Gilliam",DVD,,"Jul 28, 2025",8,https://www.imdb.com/title/tt0114746/?ref_=ref_ext_clz,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.","Special Edition",3259190712911,"Bruce Willis | Brad Pitt | Christopher Plummer"
"The 13th Warrior",1999,"Action | Adventure | History",01:42,"John McTiernan",DVD,,"Jul 28, 2025",6.6,https://www.imdb.com/title/tt0120657/?ref_=ref_ext_clz,"A Muslim ambassador exiled from his homeland joins a group of Vikings, initially offended by their behavior but growing to respect them. As they travel together, they learn of a legendary evil closing in and must unite to confront this formidable force.",,7321941346433,"Antonio Banderas | Diane Venora | Dennis Storhøi"
"16 Blocks",2006,"Action | Drama | Thriller",01:42,"Richard Donner",DVD,,"Jul 30, 2025",6.6,https://www.imdb.com/title/tt0450232/?ref_=ref_ext_clz,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",,5706112384131,"Bruce Willis | Yasiin Bey | David Morse"
2012,2009,"Action | Adventure | Science Fiction",02:38,"Roland Emmerich",Blu-ray,,"Jul 28, 2025",5.8,https://www.imdb.com/title/tt1190080/?ref_=ref_ext_clz,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",,5051161265291,"John Cusack | Amanda Peet | Chiwetel Ejiofor"
"24: Season 1",2002,"Action | Crime | Drama | Thriller",17:01,"Stephen Hopkins | Davis Guggenheim | Paul Shapiro",DVD,,"Jul 28, 2025",8.4,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,"""24"" is a TV thriller presented in ""real time"" with each minute of airtime that corresponds to a minute in the lives of the characters. ""24"" employs fast-paced and complex stories, and often contains unexpected plot twists. Though each day's events typically revolve around thwarting an impending terrorist attack, each season is made up of various interwoven story threads. These may run for just one hour, but more usually run over several hours. These typically involve investigations of leads on terrorists, tracking suspects, and averting attacks. The exact objective of the day evolves over the course of the season as the antagonists adapt, contingencies arise, and larger scale operations unfold.","Season 1",7036988005983,"Penny Johnson | Kiefer Sutherland | Dennis Haysbert"
"24: Season 2",2002,"Action | Crime | Drama | Thriller",17:51,"Jon Cassar | James Whitmore Jr. | Ian Toynton",DVD,,"Jul 28, 2025",8.4,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,"When it is discovered that terrorists have smuggled a nuclear weapon into the United States, retired agent Jack Bauer (Kiefer Sutherland) is called back in order to aid the Los Angeles Counter Terrorist Unit. While undercover Jack attempts to locate Syed Ali (Francesco Quinn), the terrorist behind the impending attack. He discovers that not only CTU is at risk of an imminent attack, but also his daughter Kim (Elisha Cuthbert) is in danger from her employer Gary Matheson (Billy Burke). Meanwhile newly elected President David Palmer (Dennis Haysbert) must not only deal with the nuclear crisis and America's response to the countries possibly behind the threat, but the political ambitions of his ex-wife Sherry (Penny Johnson) who still has her eyes set on a position in his cabinet.","The Complete Season 2",7036988007963,"Penny Johnson | Kiefer Sutherland | Dennis Haysbert"
"24: Season 3",2004,"Action | Crime | Drama | Thriller",17:54,"Jon Cassar | Ian Toynton | Frederick King Keller",DVD,,"Jul 28, 2025",8.4,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,"Jack Bauer (Kiefer Sutherland) must once again save the day. This time, the threat comes from a lethal virus linked with a couple of drug-running brothers, Ramon and Hector Salazar (Joaquim de Almeida and Vincent Laresca). Bauer has a personal connection with them because he went undercover to get Hector Salazar convicted. In the process, he also got addicted to heroin. Jack pretends to have gone rogue and breaks Hector Salazar from prison in an effort to get a lead on the virus. Bauer also encounters an old foe, Nina Myers (Sarah Clarke), his wife's murderer. After a series of other twists, the virus ends up in the hands of Stephen Saunders (Paul Blackthorne), who unleashes it on a hotel in L. A. Bauer manages to get Saunders to reveal the whereabouts of vials of the virus and with his partner Chase Edmonds (James Badge Dale) the search starts to contain them. 
At the end of the harrowing day, Jack has broken down in tears.","Season Three DVD Collection",7036988011199,"James Badge Dale | Mary Lynn Rajskub | Joaquim de Almeida"
"24: Season 4",2005,"Action | Crime | Drama | Thriller",17:25,"Jon Cassar | Brad Turner | Bryan Spicer",DVD,,"Jul 28, 2025",8.4,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,"At the beginning of the fourth long, difficult day of Jack Bauer's (Keifer Sutherland) life, he has left CTU to work for the Secretary of Defense, James Heller (William Devane). However, it seems that it's not in the cards for Jack to be separated from CTU for long, and an explosion on a commuter train masterminded by terrorist Habib Marwan (Arnold Vasloo) sends Jack back to the agency he has tried to leave behind. He is sent to meet with the woman who fired him from CTU, Erin Driscoll (Alberta Watson), but very soon, events turn his visit into much more than he ever expected. After the attack on the commuter train, things quickly spiral out of control, leading to a major kidnapping and the threat of terrorist attacks against several nuclear power plants. Jack must again work with CTU, aided by computer whiz Chloe O'Brien, (Mary Lynn Rajskub) to prevent multiple terrorist attacks and save the life of his new love, Audrey Raines (Kim Raver).","Season Four DVD Collection",7036988014343,"Kim Raver | Roger R. Cross | Mary Lynn Rajskub"
"24: Season 5",2006,"Action | Crime | Drama | Thriller",17:14,"Brad Turner | Jon Cassar | Tim Iacofano",DVD,,"Jul 28, 2025",8.4,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,"President David Palmer is assassinated and Jack Bauer (Kiefer Sutherland) is blamed for it. Then terrorists, led by Vladimir Bierko, steal canisters of Sentox nerve gas. The canisters are released at Sunrise Hills shopping Mall, Tyler Memorial Hospital, CTU, and Wilshire Gas Co. At Wilshire, Bierko is captured and is brought to CTU. Slowly, Jack Bauer finds out that President Carles Logan (Gregory Itzin) was behind all of these incidents. Bauer retrieves a recording of a conversation between terrorist Christopher Henderson and President Logan, but the recording becomes corrupted. Jack finally kidnaps President Logan and places a wire on him which captures his confession to his wife, First Lady Martha Logan. ",,7036988018884,"Mary Lynn Rajskub | Kim Raver | Roger R. Cross"
"24: Season 7",2009,"Action | Crime | Drama | Thriller",17:14,"Brad Turner | Jon Cassar | Milan Cheylov",DVD,,"Jul 28, 2025",8.4,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,"Season Seven, also known as Day 7, of the American serial television series 24, was to premiere on January 13, 2008, but was delayed for one year due to the 2007–2008 Writers Guild of America strike. On November 23, 2008, Fox aired 24: Redemption, a two-hour TV movie set between seasons. Season seven began in the U.S. with a four-hour premiere over two consecutive nights, following the format of the previous three seasons, with the first two hours airing on Sunday, January 11, 2009, and the third and fourth hours airing on Monday, January 12. Fox aired the remainder of the season without interruption on Mondays. Sky1 presented a two-hour premiere special on Monday, January 12. Another two hours were broadcast the following Monday, and a single episode on every subsequent Monday, meaning that the UK remained one week behind the U.S. Unlike all of the other seasons, this season's DVD set was released one day after the season finale. The season's storyline begins and ends at 8:00 a.m.",,7036988028036,"Kiefer Sutherland | Mary Lynn Rajskub | Cherry Jones"
"24: Season 8",2010,"Action | Crime | Drama | Thriller",17:21,"Brad Turner | Milan Cheylov | Michael Klick",DVD,,"Jul 28, 2025",8.4,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,"""24"" is a TV thriller presented in ""real time"" with each minute of airtime that corresponds to a minute in the lives of the characters. ""24"" employs fast-paced and complex stories, and often contains unexpected plot twists. Though each day's events typically revolve around thwarting an impending terrorist attack, each season is made up of various interwoven story threads. These may run for just one hour, but more usually run over several hours. These typically involve investigations of leads on terrorists, tracking suspects, and averting attacks. The exact objective of the day evolves over the course of the season as the antagonists adapt, contingencies arise, and larger scale operations unfold.",,7036988032620,"Mary Lynn Rajskub | Freddie Prinze Jr. | Kiefer Sutherland"
"37 1/2",2005,"Comedy | Drama",01:30,"Vibeke Idsøe",DVD,,"Jul 28, 2025",4.8,https://www.imdb.com/title/tt0414796/?ref_=ref_ext_clz,"A woman, Selma, almost 40 years old, figures that she has not achieved what she wanted in life and wonders ""what now?""",,7036988013483,"Marit Andreassen | Bernhard Arnø | Anders Baasmo Christiansen"
"40 Days and 40 Nights",2002,"Comedy | Romance",01:36,"Michael Lehmann",DVD,,"Jul 30, 2025",5.6,https://www.imdb.com/title/tt0243736/?ref_=ref_ext_clz,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life.",DVD,3259190336391,"Josh Hartnett | Shannyn Sossamon | Paulo Costanzo"
